State,Year,Total Banks,Avg ROA,Avg Capital Ratio,Total Assets,Avg Uninsured Deposit Pct
NH,2018,18,0.6414419846812572,17.358130444536062,44675569,15.659783934958881
NH,2019,18,0.6151438757209764,23.683218790625137,45322746,15.768302168401508
NH,2020,17,0.02206166326723711,14.803471237876897,51263530,18.725807381678386
NH,2021,17,0.7662904964735995,12.333038300112666,58504540,22.1209888530258
NH,2022,19,0.5614866397659668,10.999624072635859,62813529,23.62577497485717
NH,2023,19,1.1324690783731703,11.134329715704267,67408892,23.584454233763033
NH,2024,19,1.2618685995116523,10.975579600757978,69219448,22.83940951182081
NH,2025,18,2.044404598989997,9.197760733352979,66002202,22.77816799916383
NJ,2018,81,0.6996756394107475,18.84310849110256,632205357,23.232657538180774
NJ,2019,73,0.7479368939320283,19.15319541110837,654932709,23.785788642312646
NJ,2020,64,0.5141245208712555,14.877810263683534,730774830,27.336585273537306
NJ,2021,60,0.8762835986118737,14.46229253463192,774411965,30.568364120535488
NJ,2022,58,0.678671744984315,14.62662879054029,742378622,33.047591570166894
NJ,2023,55,0.8236232964675773,14.97851269903454,767872117,32.4178717647931
NJ,2024,53,0.6083821064530588,15.435980156208545,771322080,33.261111605780776
NJ,2025,51,0.6291751363176865,15.255560889138012,802329977,34.626138210477194
NM,2018,39,1.3529746398946019,28.255114092428077,53595814,31.366232932015123
NM,2019,36,1.4376593361614112,27.68625705597374,49868293,33.43656550770209
NM,2020,34,1.375006453682308,14.413035203213713,57095815,35.49140336129351
NM,2021,34,1.39824489482559,12.74337923145928,66134214,36.94700084344938
NM,2022,34,1.353943176305498,11.588673445934985,70309984,38.53315771192467
NM,2023,32,1.6684603349928693,13.226923578025282,65818223,36.69448861862832
NM,2024,29,1.7846676380900284,14.802512462108336,61870817,37.171388508238856
NM,2025,29,1.82045532297747,19.644923327965927,64229925,37.88784710562769
NV,2018,19,5.308631353799237,51.69753950729578,987855169,31.626642996696177
NV,2019,20,4.587598745000735,46.59422473746954,1039754870,32.454019699178986
NV,2020,17,3.7801897218564107,19.001705934326065,191149900,33.15595284338673
NV,2021,17,4.407207336806035,21.27190002183676,197530996,34.664822499734434
NV,2022,17,5.083214673903405,19.838242617276535,248814575,33.64462380126966
NV,2023,18,2.275998433600634,30.32371879688573,225620610,31.670615022129848
NV,2024,18,1.8244112551288763,33.231963047779956,173641512,32.525430664176
NV,2025,17,3.0667488071658027,29.540745058753934,184939136,34.580479304601624
NY,2018,162,1.0526208807464452,35.17404403331025,4632154816,27.274071060363113
NY,2019,159,0.8490072926383503,39.54352541425556,4918395018,27.21155909031574
NY,2020,155,0.7558132269143611,29.091408270783123,5883520946,29.708705581148937
NY,2021,148,1.1401298090969203,30.54039165879633,6736125774,32.13416664145783
NY,2022,145,1.0210167342349887,31.638612706279453,7510281901,32.65250407455376
NY,2023,138,1.1739331677178562,32.56628155153247,7425429997,29.807078116700517
NY,2024,136,1.065071349182328,30.80574336864431,7705991308,29.604000099970058
NY,2025,133,1.0507187399982738,31.61372116450501,8285783683,29.48412501004139
OH,2018,191,3.10723189720982,27.43618430983574,12548011266,16.859812334058383
OH,2019,185,3.5955398154509504,28.656296633333564,13339343066,17.62910170785968
OH,2020,179,3.3204930109795723,22.673347752035827,15956277877,19.444366034682947
OH,2021,180,4.050041067033118,20.298678702288704,17916523954,21.625652801729604
OH,2022,177,4.644461557712286,20.687329569595523,18525497271,22.90533293683583
OH,2023,173,3.8221727421085836,21.82015125667504,18926644237,21.020345702826162
OH,2024,172,3.3541583237381847,19.785505182508686,19712014464,21.66258213059747
